"name","socket","clock_speed_Hz","ddr_version"
AMD Ryzen 5 5500,AM4,2100000000,4
AMD Ryzen 5 5600,AM4,2100000000,4
AMD Ryzen 5 5600G,AM4,2100000000,4
AMD Ryzen 5 5600X,AM4,2100000000,4
AMD Ryzen 5 7500F,AM5,2100000000,5
AMD Ryzen 5 7600,AM5,2100000000,5
AMD Ryzen 5 7600X,AM5,2100000000,5
AMD Ryzen 5 9600X,AM5,2100000000,5
AMD Ryzen 7 5700,AM4,2100000000,4
AMD Ryzen 7 5700G,AM4,2100000000,4
AMD Ryzen 7 5700X,AM4,2100000000,4
AMD Ryzen 7 5800,AM4,2100000000,4
AMD Ryzen 7 5800X,AM4,2100000000,4
AMD Ryzen 7 5800X3D,AM4,2100000000,4
AMD Ryzen 7 7700,AM5,2100000000,5
AMD Ryzen 7 7700X,AM5,2100000000,5
AMD Ryzen 7 7800X3D,AM5,2100000000,5
AMD Ryzen 7 9700X,AM5,2100000000,5
AMD Ryzen 7 9800X3D,AM5,2100000000,5
AMD Ryzen 9 5900,AM4,2100000000,4
AMD Ryzen 9 5900X,AM4,2100000000,4
AMD Ryzen 9 5950X,AM4,2100000000,4
AMD Ryzen 9 7900,AM5,2100000000,5
AMD Ryzen 9 7900X,AM5,2100000000,5
AMD Ryzen 9 7900X3D,AM5,2100000000,5
AMD Ryzen 9 7950X,AM5,2100000000,5
AMD Ryzen 9 7950X3D,AM5,2100000000,5
AMD Ryzen 9 9900X,AM5,2100000000,5
AMD Ryzen 9 9900X3D,AM5,2100000000,5
AMD Ryzen 9 9950X,AM5,2100000000,5
AMD Ryzen 9 9950X3D,AM5,2100000000,5
